Name,Country,Age,Gender,Account_Creation_Year,Minutes_Spent
Robert Parsons,Gibraltar,27,Non-binary,2012,493
Christine Brady,Ecuador,46,Male,2020,12
Melissa Hernandez,Australia,35,Female,2010,490
Michelle Lewis,Gibraltar,22,Female,2013,411
Angel Jones,Malawi,33,Female,2010,261
Edwin Dunn,Papua New Guinea,57,Non-binary,2016,307
Kelly Crawford,Tonga,28,Male,2014,104
Danielle Davis,Jordan,29,Female,2019,404
Laura Mccoy,Tanzania,56,Male,2019,437
Peter Hernandez,Togo,37,Female,2018,50
Rebecca Mullen,Namibia,37,Female,2022,340
Ryan Clark,Saint Barthelemy,42,Non-binary,2018,25
Zachary Lopez,Algeria,21,Female,2013,443
Brian Norman,Timor-Leste,53,Non-binary,2015,53
Jose Ramirez,Algeria,17,Non-binary,2012,80
Cynthia Edwards,Seychelles,19,Male,2011,116
Jane Brown,Iraq,47,Female,2015,102
Michael Ramirez,Netherlands Antilles,24,Non-binary,2022,289
Danielle Nunez,Korea,57,Male,2013,27
Emily Underwood,Trinidad and Tobago,46,Female,2013,246
Christian Taylor,Croatia,41,Female,2013,353
Pamela Garcia,Djibouti,64,Male,2013,232
Chad Norris,Switzerland,59,Male,2012,396
William Carter,Guyana,28,Non-binary,2019,487
William Steele,Uruguay,20,Female,2015,126
Scott Baker,Fiji,53,Female,2013,191
Steven Sandoval,Poland,14,Female,2018,59
Michael Gray,Madagascar,38,Female,2017,499
Jennifer Higgins,Togo,18,Female,2018,446
Katherine Horne,Mauritius,28,Non-binary,2021,377
Rodney Singh,San Marino,53,Male,2018,95
Robert Gonzalez,Cyprus,26,Male,2011,221
Timothy Hamilton,Venezuela,50,Non-binary,2018,349
Stacy Baker,Bangladesh,22,Male,2010,276
Austin Jones,Turks and Caicos Islands,61,Male,2022,47
Micheal Orr,Estonia,31,Female,2023,225
Willie Cruz,Kyrgyz Republic,46,Non-binary,2014,105
Yolanda Jefferson,Andorra,26,Female,2021,348
Connor Kirby,Yemen,22,Female,2021,217
Tara Elliott,Serbia,62,Non-binary,2011,182
Lisa Garcia,Jamaica,42,Female,2023,467
John Ware,Bulgaria,48,Female,2020,442
Wesley Hamilton,Ireland,36,Female,2020,338
Rebecca Hunter,Panama,45,Non-binary,2019,194
Scott Montgomery,Morocco,51,Male,2011,218
Diane Hinton,Timor-Leste,43,Male,2018,100
Hannah Carroll,Albania,40,Female,2022,410
Beth Neal,Bosnia and Herzegovina,22,Male,2018,141
Sarah Benson,Sudan,44,Non-binary,2018,337
Willie Sanders,Guernsey,50,Non-binary,2017,236
Bonnie Horton,Iran,14,Male,2020,134
Angela Sheppard,Singapore,48,Non-binary,2022,100
Kevin Young,Australia,22,Female,2017,358
Marcus Knox,Marshall Islands,50,Male,2014,119
Cynthia White,Wallis and Futuna,30,Female,2012,409
Christina Terrell,Aruba,39,Male,2015,24
Sara Richardson,Saint Lucia,39,Male,2014,390
Brianna James,Dominica,44,Male,2017,467
Janice Sanchez,Suriname,40,Female,2016,470
Andrea Carroll,United Arab Emirates,54,Female,2011,451
Daniel Dodson,Kuwait,48,Male,2013,422
Emily Anthony,Nigeria,23,Male,2018,3
Misty Nelson,Aruba,14,Female,2012,318
Tracy Jenkins,Japan,23,Female,2018,458
Roberta Bowen,Sao Tome and Principe,22,Female,2011,261
Sean Ellis,Bangladesh,27,Non-binary,2023,55
Jennifer Fischer,El Salvador,51,Male,2020,305
James Wilcox,Fiji,65,Female,2022,479
Melissa Underwood,Palau,50,Non-binary,2014,398
Sierra Jones,Benin,14,Female,2017,426
Jennifer Middleton,China,18,Female,2012,459
Brittney Jordan,Western Sahara,56,Male,2014,159
Amy Sparks,Belarus,42,Non-binary,2016,467
Timothy Hayden,Tuvalu,26,Male,2023,341
Mark Byrd,Guyana,42,Non-binary,2018,487
Kevin Brown,Angola,65,Non-binary,2014,493
Lisa Patterson,Liechtenstein,27,Non-binary,2010,17
Carolyn Murphy,Mauritania,37,Female,2023,418
Amy Beltran,Swaziland,61,Non-binary,2022,203
Sandra Myers,Georgia,54,Male,2011,246
Stuart Cardenas,Sri Lanka,17,Female,2012,471
Peter Johnston,United States Minor Outlying Islands,32,Female,2018,417
Ashlee Miller,Latvia,45,Female,2012,435
Philip Sanders,United States Minor Outlying Islands,17,Non-binary,2021,424
Carla Park,Congo,46,Non-binary,2020,487
Hannah Fisher,Congo,48,Non-binary,2016,137
